,ID,t,x,y,v,a,label
0,2,1.738067378667e+18,-0.6084999999999999,0.6238,0.0,0.0,
1,2,1.7380673795810002e+18,-0.6127,0.6196,0.0,0.0,
2,2,1.73806738037e+18,-0.6494333333333334,0.6291666666666668,0.0,0.0,
3,2,1.738067381156e+18,-0.6628,0.6196,0.0,0.0,
4,2,1.7380673814389998e+18,-0.63775,0.6196,0.0,0.0,
5,2,1.738067382022e+18,-0.60265,0.60955,0.0,0.0,
6,3,1.738067381723e+18,2.8903499999999998,1.38745,0.0,0.0,
7,2,1.738067382575e+18,-0.6252,0.5945,0.0,0.0,
8,3,1.73806738229e+18,2.8314000000000004,1.92435,0.0,0.0,
9,2,1.738067382779e+18,-0.6177,0.6397,0.0,0.0,
10,3,1.738067382999e+18,2.7961,2.53775,0.0,0.0,
11,2,1.738067383236e+18,-0.6232333333333333,0.6129333333333333,0.0,0.0,
12,2,1.7380673840699999e+18,-0.6277,0.5996,0.0,0.0,
13,3,1.738067383803e+18,2.22485,3.43625,0.0,0.0,
14,2,1.7380673843540001e+18,-0.62555,0.6024499999999999,0.0,0.0,
15,3,1.7380673845899999e+18,1.6757,3.89425,0.0,0.0,
16,2,1.7380673848580001e+18,-0.6285499999999999,0.5929,0.0,0.0,
17,3,1.738067385079e+18,1.1192,4.0064,0.0,0.0,
18,2,1.738067385283e+18,-0.62355,0.5929,0.0,0.0,
19,3,1.738067385582e+18,0.5081,3.92185,0.0,0.0,
20,2,1.73806738585e+18,-0.6196,0.5943333333333333,0.0,0.0,
21,3,1.7380673860545935e+18,0.2717137576164699,3.744350066757202,0.0,0.0,person
22,2,1.7380673866370002e+18,-0.6177,0.5996,0.0,0.0,
23,3,1.738067386432e+18,-0.12336626630910219,3.5760250672340392,0.0,0.0,person
24,2,1.738067386844e+18,-0.6193500000000001,0.6096,0.0,0.0,
25,3,1.738067386844e+18,-0.3492165900226687,3.3772334255218506,0.0,0.0,person
26,2,1.738067387351e+18,-0.6228499999999999,0.61005,0.0,0.0,
27,3,1.738067387351e+18,-0.40703649880273796,3.317125054359436,0.0,0.0,person
28,2,1.738067387912e+18,-0.6177,0.5996,0.0,0.0,
29,3,1.7380673879376315e+18,-0.6018273511326407,3.167000217437744,0.0,0.0,person
30,2,1.738067388432e+18,-0.62105,0.6029,0.0,0.0,
31,3,1.738067388196e+18,-0.49785919431634823,3.260400108718872,0.0,0.0,person
32,2,1.7380673889860001e+18,-0.6177,0.5996,0.0,0.0,
33,3,1.7380673886989998e+18,-0.49027973851349066,3.272100072479248,0.0,0.0,person
34,2,1.738067389549e+18,-0.6277,0.5996,0.0,0.0,
35,3,1.738067389264e+18,-0.7556490957721744,3.1243750858306885,0.0,0.0,person
36,2,1.738067389767e+18,-0.6294,0.5862,0.0,0.0,
37,3,1.738067389767e+18,-1.0900914968860758,2.8813000267028808,0.0,0.0,person
38,2,1.738067390332e+18,-0.6177,0.5996,0.0,0.0,
39,3,1.738067390317123e+18,-1.1477737007907185,2.543000144958496,0.0,0.0,person
40,2,1.73806739085e+18,-0.6064,0.6008,0.0,0.0,
41,3,1.73806739085e+18,-1.8914,2.5052,0.0,0.0,
42,2,1.7380673914e+18,-0.6077,0.5895,0.0,0.0,
43,2,1.738067391983e+18,-0.6039,0.5983,0.0,0.0,
44,2,1.738067392488e+18,-0.6043,0.6113,0.0,0.0,
45,0,1.7380673931979999e+18,-1.2395,2.3121,0.0,0.0,
46,2,1.738067392754e+18,-0.6105499999999999,0.5924499999999999,0.0,0.0,
47,0,1.7380673935925962e+18,-1.2703275387206447,2.7480000686645507,0.0,0.0,person
48,2,1.7380673931979999e+18,-0.6177,0.57445,0.0,0.0,person
49,0,1.7380673939704558e+18,-0.9685320987984888,2.35500018119812,0.0,0.0,person
50,2,1.7380673937650002e+18,-0.57335,0.5929,0.0,0.0,person
