ID,label,x,y,z,t
24,person,0.3286275152329398,-0.026306716404428145,3.8600001335144043,1738067386054593600
24,person,0.06284418671461552,-0.031143258876200654,3.6750001907348633,1738067386480631000
24,person,-0.2587092519510243,-0.018396846813564384,3.568000078201294,1738067386828302600
24,person,-0.4742497700680061,-0.01719548426750622,3.3350002765655518,1738067387173714600
24,person,-0.5479459952109519,-0.011354507696030254,3.247000217437744,1738067387551063100
24,person,-0.6018273511326407,-0.016741750082563314,3.247000217437744,1738067387937631600
24,person,-0.5879565791746318,-0.016654097153162302,3.2300002574920654,1738067388275300000
24,person,-0.572480198090761,-0.016829403011964325,3.264000177383423,1738067388636255200
24,person,-0.5964392155404719,-0.016741750082563314,3.247000217437744,1738067388986282500
24,person,-0.6878376342205689,-0.02178141588849112,3.196000099182129,1738067389311277100
24,person,-0.8336587488681292,-0.015823970326455106,3.069000244140625,1738067389705048400
24,person,-1.0168744906582272,0.004206131803673344,2.8410000801086426,1738067389987787800
24,person,-1.1477737007907185,-0.0004685556233854291,2.623000144958496,1738067390317123100
32,person,-1.2703275387206447,-0.07088608470529115,2.828000068664551,1738067393592596100
32,person,-0.9685320987984889,-0.03275510880789939,2.43500018119812,1738067393970455700
32,person,-0.9497303132282094,-0.0005171439411024727,2.8950002193450928,1738067394379088500
56,person,-0.43310200071385,-0.0006159282464401521,3.448000192642212,1738067395198042700
56,person,-0.3755741903690799,-0.030592425269691418,3.6100001335144043,1738067395608560000
56,person,-0.3674337622800491,-0.03636913437622117,3.5890002250671387,1738067395987023500
56,person,-0.2926023207438776,-0.019061980396994083,3.69700026512146,1738067396396366900
56,person,-0.13685107142858444,-0.03377030866355321,3.9850001335144043,1738067396825898400
56,person,-0.04027698540173765,-0.0431889785576077,4.26200008392334,1738067397217438700
56,person,0.05430745388515638,-0.04539808093662326,4.480000019073486,1738067397628643600
56,person,0.1456321734351248,-0.038524421121649,4.546000003814697,1738067398044409000
56,person,0.14180519221821755,-0.040645470750429104,4.011000156402588,1738067398456806500
56,person,0.15159022712442688,-0.012623890222897855,3.6100001335144043,1738067398841920100
56,person,0.15906363409372817,0.004682856377734905,3.1630001068115234,1738067399252300000
56,person,0.11106819090456459,-0.00047248557306101355,2.6450002193450928,1738067399672807700
56,person,0.11390424778452335,0.007111319868695187,2.265000104904175,1738067400052757000
