ObjectID,PositionX,PositionY,Timestamp, X,Y,Theta
2,-0.6127,0.6071,1738067378.667000,-0.0011,-0.0037,-0.0000
2,-0.6127,0.6196,1738067378.952000,-0.0010,-0.0004,-0.0004
2,-0.6001,0.6447,1738067379.298000,-0.0025,-0.0010,-0.0013
2,-0.6127,0.6196,1738067379.581000,-0.0053,-0.0006,-0.0012
2,-0.6127,0.6196,1738067379.802000,-0.0073,0.0053,-0.0009
2,-0.6377,0.6483,1738067380.370000,-0.0107,0.0058,-0.0032
2,-0.6628,0.6196,1738067380.653000,-0.0115,0.0087,-0.0034
2,-0.6478,0.6196,1738067380.936000,-0.0161,0.0122,-0.0047
2,-0.6628,0.6196,1738067381.156000,-0.0189,0.0162,-0.0038
2,-0.6628,0.6196,1738067381.439000,-0.0197,0.0163,-0.0042
2,-0.6127,0.6196,1738067381.723000,-0.0023,-0.0030,-0.0013
2,-0.5976,0.6296,1738067382.022000,-0.0017,-0.0026,0.0004
2,-0.6077,0.5895,1738067382.290000,-0.0007,0.0024,-0.0008
2,-0.6252,0.5945,1738067382.575000,0.0020,-0.0044,-0.0001
2,-0.6177,0.6397,1738067382.779000,-0.0003,-0.0028,0.0003
2,-0.6210,0.6196,1738067383.236000,0.0006,-0.0043,0.0012
2,-0.6277,0.5996,1738067383.504000,0.0001,-0.0019,0.0007
2,-0.6210,0.6196,1738067383.803000,-0.0005,0.0009,-0.0004
2,-0.6277,0.5996,1738067384.070000,-0.0008,0.0010,-0.0009
2,-0.6277,0.5996,1738067384.354000,-0.0004,0.0020,-0.0016
2,-0.6234,0.6053,1738067384.590000,0.0007,0.0008,0.0005
2,-0.6277,0.5996,1738067384.858000,-0.0018,0.0051,-0.0013
2,-0.6294,0.5862,1738067385.079000,-0.0012,0.0022,-0.0014
2,-0.6177,0.5996,1738067385.283000,-0.0054,-0.0003,-0.0026
2,-0.6294,0.5862,1738067385.582000,-0.0046,-0.0014,-0.0010
2,-0.6177,0.5996,1738067385.850000,-0.0034,-0.0009,-0.0012
2,-0.6234,0.5838,1738067386.138000,-0.0020,-0.0027,-0.0010
2,-0.6177,0.5996,1738067386.432000,-0.0026,0.0017,-0.0015
2,-0.6177,0.5996,1738067386.637000,-0.0010,-0.0014,-0.0004
2,-0.6210,0.6196,1738067386.844000,-0.0021,-0.0020,0.0004
2,-0.6177,0.5996,1738067387.125000,-0.0005,-0.0002,-0.0004
2,-0.6294,0.5862,1738067387.351000,-0.0021,-0.0013,-0.0002
2,-0.6163,0.6339,1738067387.629000,-0.0016,0.0002,-0.0005
2,-0.6177,0.5996,1738067387.912000,-0.0012,-0.0007,-0.0010
2,-0.6177,0.5996,1738067388.196000,0.0003,-0.0011,-0.0004
2,-0.6127,0.6196,1738067388.432000,-0.0008,-0.0002,0.0002
2,-0.6294,0.5862,1738067388.699000,-0.0010,-0.0005,-0.0004
2,-0.6177,0.5996,1738067388.986000,-0.0029,0.0005,-0.0003
2,-0.6177,0.5996,1738067389.264000,-0.0015,0.0029,0.0002
2,-0.6277,0.5996,1738067389.549000,-0.0019,0.0054,-0.0006
2,-0.6294,0.5862,1738067389.767000,-0.0006,0.0038,0.0001
2,-0.6294,0.5862,1738067390.050000,-0.0025,0.0018,-0.0012
2,-0.6177,0.5996,1738067390.332000,-0.0038,0.0070,-0.0014
2,-0.6177,0.5996,1738067390.631000,-0.0018,0.0021,-0.0003
2,-0.6127,0.5945,1738067390.850000,-0.0001,0.0042,-0.0005
2,-0.6001,0.6071,1738067391.118000,-0.0002,0.0070,-0.0008
2,-0.6077,0.5895,1738067391.400000,-0.0014,0.0059,-0.0003
2,-0.6077,0.5895,1738067391.684000,-0.0016,0.0022,-0.0012
2,-0.6077,0.5895,1738067391.983000,-0.0015,0.0014,0.0005
2,-0.6001,0.6071,1738067392.202000,-0.0022,0.0066,-0.0003
2,-0.6043,0.6113,1738067392.488000,-0.0018,0.0054,0.0002
2,-0.6210,0.5778,1738067392.754000,0.0002,0.0073,-0.0001
2,-0.6001,0.6071,1738067392.977000,-0.0019,0.0070,-0.0019
2,-0.6277,0.5594,1738067393.198000,-0.0016,0.0073,-0.0001
2,-0.6077,0.5895,1738067393.482000,-0.0049,0.0105,-0.0028
2,-0.5792,0.5862,1738067393.765000,-0.0041,0.0080,-0.0028
2,-0.5675,0.5996,1738067394.049000,-0.0024,0.0009,-0.0013
2,-0.5375,0.5945,1738067394.252000,0.0007,0.0004,0.0001
2,-0.5675,0.5996,1738067394.459000,-0.0013,-0.0039,-0.0009
2,-0.5675,0.5996,1738067394.740000,-0.0016,-0.0009,-0.0008
2,-0.5776,0.5594,1738067395.024000,-0.0028,0.0043,-0.0026
2,-0.5876,0.5444,1738067395.261000,-0.0008,-0.0001,-0.0011
2,-0.5776,0.5594,1738067395.545000,-0.0033,0.0023,-0.0018
2,-0.5792,0.5862,1738067395.813000,-0.0027,0.0010,-0.0007
2,-0.5792,0.5862,1738067396.018000,-0.0004,0.0075,-0.0014
2,-0.5675,0.5996,1738067396.239000,-0.0023,0.0090,-0.0012
2,-0.5939,0.5883,1738067396.522000,-0.0047,0.0079,-0.0013
2,-0.6043,0.5611,1738067396.823000,-0.0041,0.0058,-0.0016
2,-0.5876,0.5569,1738067397.091000,-0.0053,0.0102,-0.0016
2,-0.5976,0.5795,1738067397.312000,-0.0050,0.0103,-0.0015
2,-0.5792,0.5862,1738067397.520000,-0.0042,0.0098,-0.0016
2,-0.5876,0.5695,1738067397.817000,-0.0058,0.0131,-0.0021
2,-0.5792,0.5862,1738067398.038000,-0.0045,0.0109,-0.0019
2,-0.5876,0.5695,1738067398.307000,-0.0057,0.0102,-0.0033
2,-0.5960,0.6029,1738067398.511000,-0.0042,0.0032,-0.0019
2,-0.6077,0.5895,1738067398.731000,-0.0041,0.0021,-0.0016
2,-0.6754,0.5569,1738067399.581000,-0.0039,0.0097,-0.0037
2,-0.6754,0.5569,1738067399.817000,-0.0048,0.0076,-0.0031
2,-0.6754,0.5569,1738067400.084000,-0.0051,0.0118,-0.0036
2,-0.6754,0.5569,1738067400.367000,-0.0032,0.0037,-0.0022
2,-0.6754,0.5569,1738067400.667000,-0.0039,0.0064,-0.0025
2,-0.6754,0.5569,1738067400.871000,-0.0031,0.0054,-0.0013
2,-0.6754,0.5569,1738067401.156000,-0.0034,0.0056,-0.0021
2,-0.6754,0.5569,1738067401.360000,-0.0061,0.0124,-0.0033
