ObjectID,PositionX,PositionY,Timestamp,RobotX,RobotY,RobotTheta
38,-0.4931,-0.6544,1737285361.496000,-1.0088,-0.4642,-0.0111
38,-0.6435,-0.6544,1737285361.762000,-1.0094,-0.462,-0.0107
38,-0.7162,-0.707,1737285361.990000,-1.0088,-0.4587,-0.0116
38,-0.8482,-0.9009,1737285362.260000,-1.0074,-0.4542,-0.016
38,-0.9354,-1.0036,1737285362.479000,-1.0075,-0.4485,-0.019
38,-1.0571,-1.0597,1737285362.690000,-1.0061,-0.4453,-0.0201
38,-1.2075,-1.1283,1737285362.893000,-1.0084,-0.4433,-0.0212
38,-1.2911,-1.277,1737285363.122000,-1.0073,-0.44,-0.0208
59,-1.2075,-0.932,1737285373.253000,-1.0043,-0.4294,-0.0188
59,-1.1073,-0.8962,1737285373.522000,-1.0049,-0.4262,-0.0206
59,-1.0446,-0.8048,1737285373.806000,-1.0056,-0.4265,-0.0215
59,-0.9819,-0.7421,1737285374.028000,-1.0048,-0.4249,-0.0244
59,-0.8866,-0.687,1737285374.289000,-1.0045,-0.424,-0.03
59,-0.8666,-0.6569,1737285374.578000,-1.0064,-0.4256,-0.0318
59,-0.8231,-0.6251,1737285374.848000,-1.0108,-0.4286,-0.0285
59,-0.7939,-0.5541,1737285375.274000,-1.0138,-0.4328,-0.025
59,-0.7362,-0.5265,1737285375.550000,-1.0127,-0.4334,-0.0238
59,-0.7262,-0.4563,1737285375.759000,-1.0127,-0.4354,-0.0243
59,-0.7312,-0.4162,1737285375.993000,-1.0121,-0.4363,-0.0251
59,-0.7864,-0.2958,1737285376.248000,-1.0114,-0.4366,-0.0249
59,-0.8002,-0.2344,1737285376.469000,-1.0109,-0.4353,-0.0256
59,-0.8482,-0.2323,1737285376.727000,-1.0093,-0.4349,-0.0165
59,-0.8983,-0.2323,1737285377.018000,-1.0093,-0.4375,-0.0084
59,-0.8422,-0.2514,1737285377.308000,-1.0106,-0.4453,-0.0072
59,-0.7981,-0.3326,1737285377.588000,-1.0087,-0.4524,-0.0067
59,-0.7763,-0.4763,1737285378.157000,-1.0041,-0.4546,-0.0098
59,-0.7563,-0.6,1737285378.437000,-1.0089,-0.4469,-0.0186
59,-0.7162,-0.7572,1737285378.704000,-1.0148,-0.4386,-0.0203
86,-0.6226,-0.5415,1737285385.777000,-1.7786,-0.8134,-0.2762
86,-0.7187,-0.6418,1737285385.984000,-1.7802,-0.8144,-0.3016
86,-1.1323,-0.8842,1737285386.837000,-1.7733,-0.815,-0.3811
86,-1.195,-1.0054,1737285387.046000,-1.7682,-0.8136,-0.3834
86,-1.3245,-1.1266,1737285387.343000,-1.7646,-0.8124,-0.3813
86,-1.4499,-1.2687,1737285387.610000,-1.7627,-0.8107,-0.3865
86,-1.5,-1.4526,1737285387.896000,-1.7611,-0.8101,-0.402
